Province_State,Deathcase,diags
Alabama,45,1765
Alaska,1,185
Arizona,54,2269
Arkansas,6,780
California,348,15034
Colorado,139,4699
Connecticut,188,5453
Delaware,12,673
District of Columbia,22,1002
Florida,221,12346
Georgia,206,6369
Hawaii,4,362
Idaho,10,1078
Illinois,274,11197
Indiana,127,4411
Iowa,18,869
Kansas,18,751
Kentucky,45,921
Louisiana,473,12979
Maine,7,459
Maryland,67,3617
Massachusetts,222,12268
Michigan,615,15286
Minnesota,26,928
Mississippi,43,1638
Missouri,42,2172
Montana,6,286
Nebraska,7,363
Nevada,46,1830
New Hampshire,3,617
New Jersey,904,33684
New Mexico,12,624
New York,6447,123160
North Carolina,38,2649
North Dakota,3,207
Ohio,119,4043
Oklahoma,46,1252
Oregon,27,1068
Pennsylvania,151,11589
Rhode Island,3,684
South Carolina,44,2049
South Dakota,2,240
Tennessee,52,3282
Texas,136,7209
Utah,8,1599
Vermont,5,499
Virginia,16,2637
Washington,336,7292
West Virginia,3,324
Wisconsin,74,2320
Wyoming,0,197
