Province_State,Deathcase,diags
Alabama,70,2703
Alaska,5,235
Arizona,80,3018
Arkansas,21,1106
California,542,19706
Colorado,191,5417
Connecticut,378,9392
Delaware,16,1209
District of Columbia,32,1523
Florida,354,16362
Georgia,371,9546
Hawaii,5,437
Idaho,18,1232
Illinois,527,16354
Indiana,245,6351
Iowa,26,1270
Kansas,34,1116
Kentucky,68,1265
Louisiana,700,18232
Maine,16,556
Maryland,138,6185
Massachusetts,419,18720
Michigan,1070,21005
Minnesota,50,1238
Mississippi,76,2260
Missouri,85,3183
Montana,6,354
Nebraska,12,568
Nevada,80,2399
New Hampshire,3,787
New Jersey,1705,50031
New Mexico,16,865
New York,10705,161779
North Carolina,76,3736
North Dakota,5,269
Ohio,213,5512
Oklahoma,80,1684
Oregon,43,1321
Pennsylvania,345,18300
Rhode Island,3,1176
South Carolina,67,2793
South Dakota,6,447
Tennessee,93,4321
Texas,210,11208
Utah,13,1856
Vermont,23,620
Virginia,31,4042
Washington,456,8801
West Virginia,4,514
Wisconsin,111,2886
Wyoming,0,230
