date,Deathcase,diags
2020/3/25,1,381
2020/3/26,1,517
2020/3/27,4,587
2020/3/28,4,694
2020/3/29,10,825
2020/3/3,0,0
2020/3/30,10,899
2020/3/31,15,987
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,27,1060
2020/4/10,80,2947
2020/4/11,92,3217
2020/4/12,93,3563
2020/4/13,99,3734
2020/4/14,114,3953
2020/4/15,118,4075
2020/4/16,133,4345
2020/4/17,148,4571
2020/4/18,153,4712
2020/4/19,157,4888
2020/4/2,27,1233
2020/4/20,163,5079
2020/4/21,183,5317
2020/4/22,196,5593
2020/4/23,202,5832
2020/4/24,209,6026
2020/4/25,209,6026
2020/4/26,219,6421
2020/4/3,38,1495
2020/4/4,44,1614
2020/4/5,45,1765
2020/4/6,49,1952
2020/4/7,64,2169
2020/4/8,66,2328
2020/4/9,70,2703
