date,Deathcase,diags
2020/3/28,1,85
2020/3/29,1,102
2020/3/3,0,0
2020/3/30,1,114
2020/3/31,1,119
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,1,132
2020/4/10,5,246
2020/4/11,5,257
2020/4/12,5,272
2020/4/13,5,277
2020/4/14,5,285
2020/4/15,5,293
2020/4/16,5,300
2020/4/17,5,309
2020/4/18,5,314
2020/4/19,5,319
2020/4/2,1,143
2020/4/20,5,321
2020/4/21,5,329
2020/4/22,5,335
2020/4/23,5,337
2020/4/24,5,339
2020/4/25,5,339
2020/4/26,5,340
2020/4/3,1,157
2020/4/4,1,171
2020/4/5,1,185
2020/4/6,1,190
2020/4/7,5,213
2020/4/8,5,225
2020/4/9,5,235
