date,Deathcase,diags
2020/3/21,1,104
2020/3/22,2,152
2020/3/23,2,235
2020/3/24,3,326
2020/3/25,4,401
2020/3/26,4,508
2020/3/27,11,665
2020/3/28,11,773
2020/3/29,11,919
2020/3/3,0,1
2020/3/30,11,1157
2020/3/31,12,1289
2020/3/4,0,1
2020/3/5,0,1
2020/3/6,0,2
2020/3/7,0,4
2020/3/8,0,4
2020/3/9,0,4
2020/4/1,14,1413
2020/4/10,80,3112
2020/4/11,88,3393
2020/4/12,103,3542
2020/4/13,114,3705
2020/4/14,119,3809
2020/4/15,128,3964
2020/4/16,136,4237
2020/4/17,141,4511
2020/4/18,180,4724
2020/4/19,183,4933
2020/4/2,32,1596
2020/4/20,190,5068
2020/4/21,208,5256
2020/4/22,231,5473
2020/4/23,249,5772
2020/4/24,266,6045
2020/4/25,273,6286
2020/4/26,275,6534
2020/4/3,32,1769
2020/4/4,50,2019
2020/4/5,54,2269
2020/4/6,55,2460
2020/4/7,59,2575
2020/4/8,77,2726
2020/4/9,80,3018
