date,Deathcase,diags
2020/3/24,1,206
2020/3/25,1,260
2020/3/26,1,311
2020/3/27,1,346
2020/3/28,1,377
2020/3/29,1,395
2020/3/3,0,0
2020/3/30,5,424
2020/3/31,5,489
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,6,540
2020/4/10,21,1150
2020/4/11,25,1209
2020/4/12,27,1255
2020/4/13,29,1374
2020/4/14,32,1453
2020/4/15,33,1521
2020/4/16,37,1576
2020/4/17,37,1652
2020/4/18,38,1702
2020/4/19,39,1735
2020/4/2,6,600
2020/4/20,41,1928
2020/4/21,42,1945
2020/4/22,42,2181
2020/4/23,45,2472
2020/4/24,47,2628
2020/4/25,48,2709
2020/4/26,51,2785
2020/4/3,6,657
2020/4/4,6,690
2020/4/5,6,780
2020/4/6,6,808
2020/4/7,6,902
2020/4/8,6,956
2020/4/9,21,1106
