date,Deathcase,diags
2020/3/10,2,144
2020/3/11,4,178
2020/3/12,4,221
2020/3/13,4,281
2020/3/14,3,371
2020/3/15,5,373
2020/3/16,7,557
2020/3/17,12,700
2020/3/18,16,828
2020/3/19,18,1005
2020/3/2,0,21
2020/3/20,24,1243
2020/3/21,25,1405
2020/3/22,30,1646
2020/3/23,39,2108
2020/3/24,50,2538
2020/3/25,65,2998
2020/3/26,81,3899
2020/3/27,94,4645
2020/3/28,110,5095
2020/3/29,123,5852
2020/3/3,0,25
2020/3/30,146,7138
2020/3/31,173,8210
2020/3/4,1,35
2020/3/5,1,51
2020/3/6,1,59
2020/3/7,1,81
2020/3/8,1,95
2020/3/9,1,101
2020/4/1,198,9399
2020/4/10,583,21077
2020/4/11,604,21702
2020/4/12,640,22787
2020/4/13,714,23931
2020/4/14,767,25356
2020/4/15,860,26686
2020/4/16,956,27677
2020/4/17,1037,29157
2020/4/18,1140,30491
2020/4/19,1175,31431
2020/4/2,238,10773
2020/4/20,1223,33686
2020/4/21,1280,35465
2020/4/22,1419,37344
2020/4/23,1531,39561
2020/4/24,1619,41355
2020/4/25,1687,42368
2020/4/26,1723,43558
2020/4/3,263,12004
2020/4/4,289,12837
2020/4/5,348,15034
2020/4/6,380,15976
2020/4/7,432,17309
2020/4/8,493,18730
2020/4/9,542,19706
