date,Deathcase,diags
2020/3/13,1,74
2020/3/14,0,99
2020/3/15,1,99
2020/3/16,1,132
2020/3/17,2,167
2020/3/18,2,218
2020/3/19,4,220
2020/3/2,0,0
2020/3/20,4,343
2020/3/21,6,474
2020/3/22,6,590
2020/3/23,7,703
2020/3/24,8,718
2020/3/25,16,1003
2020/3/26,19,1328
2020/3/27,19,1331
2020/3/28,30,1604
2020/3/29,46,2121
2020/3/3,0,0
2020/3/30,46,2125
2020/3/31,68,2837
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,3
2020/3/7,0,7
2020/3/8,0,7
2020/3/9,0,7
2020/4/1,68,2853
2020/4/10,191,5967
2020/4/11,248,6368
2020/4/12,289,7151
2020/4/13,306,7546
2020/4/14,327,7831
2020/4/15,328,7837
2020/4/16,354,8175
2020/4/17,371,8595
2020/4/18,388,8980
2020/4/19,419,9616
2020/4/2,75,3214
2020/4/20,419,9616
2020/4/21,482,10347
2020/4/22,505,10796
2020/4/23,549,11170
2020/4/24,670,12153
2020/4/25,680,12837
2020/4/26,684,13269
2020/4/3,96,3598
2020/4/4,110,4030
2020/4/5,139,4699
2020/4/6,149,4907
2020/4/7,149,5177
2020/4/8,191,5417
2020/4/9,191,5417
