date,Deathcase,diags
2020/3/18,1,96
2020/3/19,3,157
2020/3/2,0,0
2020/3/20,4,194
2020/3/21,4,194
2020/3/22,8,327
2020/3/23,10,415
2020/3/24,12,618
2020/3/25,19,875
2020/3/26,21,1012
2020/3/27,27,1291
2020/3/28,33,1524
2020/3/29,34,1993
2020/3/3,0,0
2020/3/30,36,2395
2020/3/31,67,3051
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,83,3372
2020/4/10,444,10131
2020/4/11,489,11054
2020/4/12,550,11534
2020/4/13,598,12890
2020/4/14,667,13456
2020/4/15,866,14218
2020/4/16,969,15350
2020/4/17,1034,16314
2020/4/18,1083,17025
2020/4/19,1123,17433
2020/4/2,111,3650
2020/4/20,1327,19301
2020/4/21,1419,19857
2020/4/22,1540,21919
2020/4/23,1633,22578
2020/4/24,1761,23414
2020/4/25,1859,24061
2020/4/26,1924,24747
2020/4/3,130,4696
2020/4/4,164,5035
2020/4/5,188,5453
2020/4/6,206,6642
2020/4/7,274,7489
2020/4/8,274,7489
2020/4/9,378,9392
