date,Deathcase,diags
2020/3/26,1,130
2020/3/27,1,163
2020/3/28,5,214
2020/3/29,6,232
2020/3/3,0,0
2020/3/30,6,264
2020/3/31,7,319
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,11,368
2020/4/10,16,1317
2020/4/11,33,1466
2020/4/12,33,1625
2020/4/13,41,1758
2020/4/14,43,1915
2020/4/15,43,1997
2020/4/16,52,2053
2020/4/17,61,2295
2020/4/18,67,2508
2020/4/19,67,2508
2020/4/2,12,393
2020/4/20,72,2714
2020/4/21,82,2901
2020/4/22,89,3172
2020/4/23,92,3305
2020/4/24,100,3438
2020/4/25,112,3573
2020/4/26,120,4025
2020/4/3,12,450
2020/4/4,12,593
2020/4/5,12,673
2020/4/6,15,783
2020/4/7,16,928
2020/4/8,16,1116
2020/4/9,16,1209
