date,Deathcase,diags
2020/3/20,1,71
2020/3/21,0,98
2020/3/22,2,102
2020/3/23,2,120
2020/3/24,2,141
2020/3/25,2,187
2020/3/26,3,231
2020/3/27,3,271
2020/3/28,4,304
2020/3/29,5,342
2020/3/3,0,0
2020/3/30,9,401
2020/3/31,9,495
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,9,586
2020/4/10,38,1660
2020/4/11,47,1778
2020/4/12,50,1875
2020/4/13,52,1955
2020/4/14,67,2058
2020/4/15,72,2197
2020/4/16,81,2350
2020/4/17,86,2476
2020/4/18,91,2666
2020/4/19,96,2793
2020/4/2,12,653
2020/4/20,105,2927
2020/4/21,112,3098
2020/4/22,127,3206
2020/4/23,139,3361
2020/4/24,153,3528
2020/4/25,165,3699
2020/4/26,178,3841
2020/4/3,15,757
2020/4/4,21,902
2020/4/5,22,1002
2020/4/6,24,1097
2020/4/7,22,1211
2020/4/8,27,1440
2020/4/9,32,1523
