date,Deathcase,diags
2020/3/10,2,15
2020/3/11,2,24
2020/3/12,2,30
2020/3/13,2,45
2020/3/14,2,64
2020/3/15,3,100
2020/3/16,3,101
2020/3/17,5,190
2020/3/18,7,306
2020/3/19,9,432
2020/3/2,0,1
2020/3/20,9,564
2020/3/21,13,762
2020/3/22,13,1003
2020/3/23,17,1227
2020/3/24,17,1412
2020/3/25,23,1682
2020/3/26,29,2357
2020/3/27,35,2900
2020/3/28,46,3763
2020/3/29,54,4246
2020/3/3,0,2
2020/3/30,59,5472
2020/3/31,85,6739
2020/3/4,0,2
2020/3/5,0,3
2020/3/6,0,3
2020/3/7,0,7
2020/3/8,2,10
2020/3/9,2,13
2020/4/1,85,6953
2020/4/10,390,17529
2020/4/11,438,18492
2020/4/12,461,19893
2020/4/13,499,21017
2020/4/14,524,21625
2020/4/15,596,22506
2020/4/16,668,23337
2020/4/17,725,24755
2020/4/18,748,25489
2020/4/19,774,26311
2020/4/2,144,8999
2020/4/20,822,27056
2020/4/21,867,27865
2020/4/22,893,28309
2020/4/23,987,29648
2020/4/24,1046,30533
2020/4/25,1055,30838
2020/4/26,1075,31531
2020/4/3,163,10258
2020/4/4,194,11536
2020/4/5,221,12346
2020/4/6,235,13317
2020/4/7,254,14543
2020/4/8,309,15453
2020/4/9,354,16362
