date,Deathcase,diags
2020/3/12,1,31
2020/3/13,1,42
2020/3/14,1,73
2020/3/15,1,99
2020/3/16,1,121
2020/3/17,1,146
2020/3/18,3,197
2020/3/19,3,282
2020/3/2,0,0
2020/3/20,10,457
2020/3/21,14,518
2020/3/22,15,585
2020/3/23,15,727
2020/3/24,15,945
2020/3/25,16,1101
2020/3/26,16,1359
2020/3/27,22,1783
2020/3/28,67,2136
2020/3/29,78,2389
2020/3/3,0,2
2020/3/30,86,2644
2020/3/31,110,3764
2020/3/4,0,2
2020/3/5,0,2
2020/3/6,0,3
2020/3/7,0,5
2020/3/8,0,5
2020/3/9,0,10
2020/4/1,137,4122
2020/4/10,411,10239
2020/4/11,425,10762
2020/4/12,429,11234
2020/4/13,464,12096
2020/4/14,518,13626
2020/4/15,545,14041
2020/4/16,587,14818
2020/4/17,643,16159
2020/4/18,666,16634
2020/4/19,680,17179
2020/4/2,162,4570
2020/4/20,766,18160
2020/4/21,791,18441
2020/4/22,839,19544
2020/4/23,871,20544
2020/4/24,889,21128
2020/4/25,896,21623
2020/4/26,907,21842
2020/4/3,180,5324
2020/4/4,197,5915
2020/4/5,206,6369
2020/4/6,224,6994
2020/4/7,322,8333
2020/4/8,356,9044
2020/4/9,371,9546
