date,Deathcase,diags
2020/3/24,1,70
2020/3/25,0,70
2020/3/26,0,87
2020/3/27,0,100
2020/3/28,0,145
2020/3/29,0,145
2020/3/3,0,0
2020/3/30,0,167
2020/3/31,0,191
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,1
2020/3/8,0,1
2020/3/9,0,1
2020/4/1,0,209
2020/4/10,5,437
2020/4/11,8,459
2020/4/12,9,494
2020/4/13,9,499
2020/4/14,9,508
2020/4/15,9,523
2020/4/16,9,523
2020/4/17,9,530
2020/4/18,9,568
2020/4/19,10,574
2020/4/2,1,238
2020/4/20,10,578
2020/4/21,10,580
2020/4/22,12,586
2020/4/23,12,590
2020/4/24,13,595
2020/4/25,13,598
2020/4/26,14,599
2020/4/3,3,306
2020/4/4,3,341
2020/4/5,4,362
2020/4/6,5,376
2020/4/7,5,401
2020/4/8,5,401
2020/4/9,5,437
