date,Deathcase,diags
2020/3/26,3,146
2020/3/27,3,205
2020/3/28,4,234
2020/3/29,5,281
2020/3/3,0,0
2020/3/30,6,340
2020/3/31,8,515
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,9,566
2020/4/10,24,1354
2020/4/11,25,1396
2020/4/12,27,1407
2020/4/13,27,1426
2020/4/14,33,1464
2020/4/15,39,1473
2020/4/16,41,1587
2020/4/17,41,1609
2020/4/18,43,1655
2020/4/19,44,1668
2020/4/2,9,767
2020/4/20,45,1672
2020/4/21,48,1736
2020/4/22,51,1766
2020/4/23,54,1836
2020/4/24,54,1870
2020/4/25,56,1887
2020/4/26,56,1897
2020/4/3,9,891
2020/4/4,10,1022
2020/4/5,10,1078
2020/4/6,10,1101
2020/4/7,13,1170
2020/4/8,15,1210
2020/4/9,18,1232
