date,Deathcase,diags
2020/3/17,1,161
2020/3/18,1,272
2020/3/19,4,416
2020/3/2,0,4
2020/3/20,4,418
2020/3/21,5,750
2020/3/22,6,1047
2020/3/23,12,1222
2020/3/24,12,1537
2020/3/25,19,1863
2020/3/26,26,1870
2020/3/27,34,3024
2020/3/28,47,3483
2020/3/29,66,4588
2020/3/3,0,4
2020/3/30,73,5043
2020/3/31,99,5976
2020/3/4,0,4
2020/3/5,0,5
2020/3/6,0,5
2020/3/7,0,6
2020/3/8,0,7
2020/3/9,0,7
2020/4/1,141,6952
2020/4/10,596,17806
2020/4/11,677,19095
2020/4/12,719,20751
2020/4/13,797,21960
2020/4/14,867,23194
2020/4/15,948,24548
2020/4/16,1071,25679
2020/4/17,1131,27504
2020/4/18,1256,29076
2020/4/19,1287,30242
2020/4/2,163,7658
2020/4/20,1346,31383
2020/4/21,1466,32867
2020/4/22,1564,34879
2020/4/23,1688,36744
2020/4/24,1794,39440
2020/4/25,1874,41503
2020/4/26,1933,43596
2020/4/3,209,8489
2020/4/4,243,10299
2020/4/5,274,11197
2020/4/6,306,12190
2020/4/7,379,13488
2020/4/8,461,15005
2020/4/9,527,16354
