date,Deathcase,diags
2020/3/16,1,25
2020/3/17,2,30
2020/3/18,2,38
2020/3/19,2,60
2020/3/2,0,0
2020/3/20,3,86
2020/3/21,4,128
2020/3/22,6,204
2020/3/23,7,214
2020/3/24,12,368
2020/3/25,14,477
2020/3/26,17,645
2020/3/27,25,979
2020/3/28,31,1233
2020/3/29,32,1513
2020/3/3,0,0
2020/3/30,35,1786
2020/3/31,49,2158
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,1
2020/3/7,0,1
2020/3/8,0,2
2020/3/9,0,3
2020/4/1,65,2564
2020/4/10,300,6907
2020/4/11,330,7435
2020/4/12,343,7928
2020/4/13,350,8359
2020/4/14,387,8527
2020/4/15,436,8960
2020/4/16,476,9542
2020/4/17,522,10154
2020/4/18,545,10641
2020/4/19,562,11211
2020/4/2,78,3038
2020/4/20,577,11688
2020/4/21,635,12097
2020/4/22,666,12438
2020/4/23,706,13039
2020/4/24,741,13681
2020/4/25,786,14399
2020/4/26,813,15012
2020/4/3,102,3437
2020/4/4,116,3953
2020/4/5,127,4411
2020/4/6,131,4936
2020/4/7,173,5510
2020/4/8,203,5943
2020/4/9,245,6351
