date,Deathcase,diags
2020/3/25,1,146
2020/3/26,1,179
2020/3/27,3,235
2020/3/28,3,298
2020/3/29,4,336
2020/3/3,0,0
2020/3/30,6,424
2020/3/31,6,495
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,3
2020/4/1,8,547
2020/4/10,28,1388
2020/4/11,28,1510
2020/4/12,35,1587
2020/4/13,38,1710
2020/4/14,43,1899
2020/4/15,53,1995
2020/4/16,60,2141
2020/4/17,64,2331
2020/4/18,74,2512
2020/4/19,75,2895
2020/4/2,10,614
2020/4/20,79,3157
2020/4/21,83,3620
2020/4/22,90,3744
2020/4/23,96,3921
2020/4/24,107,4441
2020/4/25,112,5087
2020/4/26,118,5470
2020/4/3,10,699
2020/4/4,11,787
2020/4/5,18,869
2020/4/6,25,946
2020/4/7,24,1046
2020/4/8,26,1145
2020/4/9,26,1270
