date,Deathcase,diags
2020/3/13,1,6
2020/3/14,1,8
2020/3/15,1,8
2020/3/16,1,11
2020/3/17,1,18
2020/3/18,1,22
2020/3/19,1,35
2020/3/2,0,0
2020/3/20,1,48
2020/3/21,2,57
2020/3/22,2,65
2020/3/23,2,84
2020/3/24,2,100
2020/3/25,3,134
2020/3/26,3,172
2020/3/27,4,206
2020/3/28,4,266
2020/3/29,7,330
2020/3/3,0,0
2020/3/30,8,372
2020/3/31,9,434
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,1
2020/3/9,0,1
2020/4/1,10,485
2020/4/10,34,1117
2020/4/11,44,1275
2020/4/12,52,1344
2020/4/13,57,1390
2020/4/14,67,1441
2020/4/15,71,1504
2020/4/16,80,1615
2020/4/17,82,1730
2020/4/18,85,1821
2020/4/19,93,1905
2020/4/2,12,553
2020/4/20,102,2048
2020/4/21,109,2164
2020/4/22,112,2331
2020/4/23,113,2721
2020/4/24,118,2959
2020/4/25,120,3135
2020/4/26,121,3277
2020/4/3,18,629
2020/4/4,18,698
2020/4/5,18,751
2020/4/6,20,849
2020/4/7,29,912
2020/4/8,34,1046
2020/4/9,34,1116
