date,Deathcase,diags
2020/3/16,1,21
2020/3/17,1,26
2020/3/18,1,28
2020/3/19,2,31
2020/3/2,0,0
2020/3/20,2,64
2020/3/21,3,64
2020/3/22,3,64
2020/3/23,4,108
2020/3/24,4,116
2020/3/25,5,143
2020/3/26,5,143
2020/3/27,7,143
2020/3/28,9,230
2020/3/29,9,369
2020/3/3,0,0
2020/3/30,9,426
2020/3/31,9,614
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,1
2020/3/7,0,1
2020/3/8,0,1
2020/3/9,0,4
2020/4/1,15,614
2020/4/10,69,1308
2020/4/11,69,1308
2020/4/12,69,1851
2020/4/13,85,1906
2020/4/14,106,2025
2020/4/15,106,2132
2020/4/16,129,2358
2020/4/17,136,2435
2020/4/18,138,2634
2020/4/19,140,2881
2020/4/2,17,657
2020/4/20,154,2977
2020/4/21,171,3131
2020/4/22,185,3306
2020/4/23,191,3412
2020/4/24,200,3721
2020/4/25,205,3857
2020/4/26,208,4027
2020/4/3,31,657
2020/4/4,34,888
2020/4/5,45,921
2020/4/6,45,921
2020/4/7,60,997
2020/4/8,60,997
2020/4/9,68,1265
