date,Deathcase,diags
2020/3/14,1,73
2020/3/15,2,87
2020/3/16,3,115
2020/3/17,4,196
2020/3/18,6,257
2020/3/19,10,344
2020/3/2,0,0
2020/3/20,14,530
2020/3/21,20,754
2020/3/22,20,787
2020/3/23,35,1161
2020/3/24,45,1376
2020/3/25,64,1784
2020/3/26,82,2291
2020/3/27,118,2728
2020/3/28,136,3306
2020/3/29,151,3532
2020/3/3,0,0
2020/3/30,185,4011
2020/3/31,235,5215
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,273,6396
2020/4/10,753,19199
2020/4/11,803,19960
2020/4/12,837,20541
2020/4/13,884,20960
2020/4/14,1013,21462
2020/4/15,1102,21895
2020/4/16,1155,22476
2020/4/17,1212,23062
2020/4/18,1266,23523
2020/4/19,1295,23870
2020/4/2,309,9111
2020/4/20,1327,24464
2020/4/21,1403,24795
2020/4/22,1472,25198
2020/4/23,1540,25677
2020/4/24,1601,26077
2020/4/25,1644,26449
2020/4/26,1670,26709
2020/4/3,366,10257
2020/4/4,409,12465
2020/4/5,473,12979
2020/4/6,509,14819
2020/4/7,580,16235
2020/4/8,650,16981
2020/4/9,700,18232
