date,Deathcase,diags
2020/3/27,1,165
2020/3/28,1,208
2020/3/29,3,248
2020/3/3,0,0
2020/3/30,3,270
2020/3/31,5,297
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,5,297
2020/4/10,17,583
2020/4/11,19,613
2020/4/12,19,630
2020/4/13,19,693
2020/4/14,20,733
2020/4/15,24,768
2020/4/16,27,794
2020/4/17,29,826
2020/4/18,32,846
2020/4/19,34,865
2020/4/2,7,368
2020/4/20,35,874
2020/4/21,36,887
2020/4/22,39,905
2020/4/23,44,937
2020/4/24,47,965
2020/4/25,47,965
2020/4/26,50,1013
2020/4/3,7,421
2020/4/4,7,444
2020/4/5,7,459
2020/4/6,7,488
2020/4/7,12,510
2020/4/8,14,529
2020/4/9,16,556
