date,Deathcase,diags
2020/3/19,1,107
2020/3/2,0,0
2020/3/20,2,149
2020/3/21,2,193
2020/3/22,3,244
2020/3/23,3,290
2020/3/24,4,349
2020/3/25,4,425
2020/3/26,4,583
2020/3/27,4,775
2020/3/28,4,995
2020/3/29,9,1239
2020/3/3,0,0
2020/3/30,14,1413
2020/3/31,18,1660
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,3
2020/3/7,0,3
2020/3/8,0,5
2020/3/9,0,5
2020/4/1,19,1986
2020/4/10,171,6968
2020/4/11,206,7694
2020/4/12,236,8225
2020/4/13,262,8936
2020/4/14,302,9472
2020/4/15,311,10032
2020/4/16,319,10784
2020/4/17,334,11572
2020/4/18,421,12326
2020/4/19,461,12847
2020/4/2,36,2331
2020/4/20,490,13684
2020/4/21,532,14193
2020/4/22,590,14775
2020/4/23,642,15737
2020/4/24,687,16616
2020/4/25,751,17766
2020/4/26,765,18581
2020/4/3,43,2758
2020/4/4,54,3125
2020/4/5,67,3617
2020/4/6,91,4045
2020/4/7,103,4371
2020/4/8,124,5529
2020/4/9,138,6185
