date,Deathcase,diags
2020/3/20,1,394
2020/3/21,1,502
2020/3/22,2,615
2020/3/23,2,723
2020/3/24,2,1072
2020/3/25,6,1676
2020/3/26,16,2147
2020/3/27,26,2933
2020/3/28,35,3893
2020/3/29,39,4487
2020/3/3,0,2
2020/3/30,47,5255
2020/3/31,80,6279
2020/3/4,0,2
2020/3/5,0,2
2020/3/6,0,6
2020/3/7,0,6
2020/3/8,0,22
2020/3/9,0,22
2020/4/1,113,7476
2020/4/10,419,20824
2020/4/11,672,22614
2020/4/12,743,25081
2020/4/13,743,26399
2020/4/14,743,27637
2020/4/15,1093,29326
2020/4/16,1093,31522
2020/4/17,1228,33621
2020/4/18,1384,35616
2020/4/19,1685,37239
2020/4/2,145,8684
2020/4/20,1685,37239
2020/4/21,1952,40247
2020/4/22,1952,42067
2020/4/23,1952,45263
2020/4/24,1952,50154
2020/4/25,2716,52571
2020/4/26,2757,54106
2020/4/3,183,10173
2020/4/4,207,11446
2020/4/5,222,12268
2020/4/6,249,13574
2020/4/7,344,14955
2020/4/8,419,16550
2020/4/9,419,18720
