date,Deathcase,diags
2020/3/18,1,119
2020/3/19,1,249
2020/3/2,0,0
2020/3/20,1,402
2020/3/21,3,540
2020/3/22,9,1035
2020/3/23,15,1325
2020/3/24,24,1787
2020/3/25,43,2289
2020/3/26,61,2838
2020/3/27,92,3626
2020/3/28,111,4588
2020/3/29,132,5393
2020/3/3,0,0
2020/3/30,184,6403
2020/3/31,259,7502
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,334,9131
2020/4/10,1273,22213
2020/4/11,1376,23379
2020/4/12,1466,24014
2020/4/13,1589,25018
2020/4/14,1753,26301
2020/4/15,1902,27309
2020/4/16,1977,28059
2020/4/17,2206,29348
2020/4/18,2286,30074
2020/4/19,2368,30712
2020/4/2,416,10565
2020/4/20,2443,31287
2020/4/21,2549,31898
2020/4/22,2787,33214
2020/4/23,2949,34428
2020/4/24,3055,35577
2020/4/25,3122,35946
2020/4/26,3280,36636
2020/4/3,477,12455
2020/4/4,538,13890
2020/4/5,615,15286
2020/4/6,725,16759
2020/4/7,841,18443
2020/4/8,955,19856
2020/4/9,1070,21005
