date,Deathcase,diags
2020/3/21,1,134
2020/3/22,1,167
2020/3/23,1,233
2020/3/24,1,261
2020/3/25,1,286
2020/3/26,2,344
2020/3/27,2,396
2020/3/28,5,441
2020/3/29,5,503
2020/3/3,0,0
2020/3/30,9,576
2020/3/31,9,629
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,1
2020/3/7,0,1
2020/3/8,0,1
2020/3/9,0,2
2020/4/1,9,689
2020/4/10,57,1335
2020/4/11,63,1423
2020/4/12,70,1616
2020/4/13,70,1616
2020/4/14,79,1660
2020/4/15,87,1807
2020/4/16,87,1807
2020/4/17,111,2070
2020/4/18,121,2209
2020/4/19,134,2352
2020/4/2,10,742
2020/4/20,143,2466
2020/4/21,160,2563
2020/4/22,179,2718
2020/4/23,200,2939
2020/4/24,221,3179
2020/4/25,244,3441
2020/4/26,272,3593
2020/4/3,11,788
2020/4/4,19,863
2020/4/5,26,928
2020/4/6,30,980
2020/4/7,34,1063
2020/4/8,39,1150
2020/4/9,50,1238
