date,Deathcase,diags
2020/3/19,1,50
2020/3/2,0,0
2020/3/20,1,80
2020/3/21,1,98
2020/3/22,1,207
2020/3/23,1,249
2020/3/24,1,320
2020/3/25,3,377
2020/3/26,6,485
2020/3/27,8,579
2020/3/28,13,663
2020/3/29,14,759
2020/3/3,0,0
2020/3/30,14,758
2020/3/31,20,937
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,22,1073
2020/4/10,82,2469
2020/4/11,93,2642
2020/4/12,96,2781
2020/4/13,98,2942
2020/4/14,111,3087
2020/4/15,122,3360
2020/4/16,129,3624
2020/4/17,140,3793
2020/4/18,152,3974
2020/4/19,159,4274
2020/4/2,26,1177
2020/4/20,169,4512
2020/4/21,183,4716
2020/4/22,193,4894
2020/4/23,201,5153
2020/4/24,209,5434
2020/4/25,221,5718
2020/4/26,227,5911
2020/4/3,29,1358
2020/4/4,35,1455
2020/4/5,43,1638
2020/4/6,51,1738
2020/4/7,60,1915
2020/4/8,67,2003
2020/4/9,76,2260
