date,Deathcase,diags
2020/3/18,1,18
2020/3/19,1,31
2020/3/2,0,0
2020/3/20,3,54
2020/3/21,3,69
2020/3/22,3,87
2020/3/23,4,166
2020/3/24,7,230
2020/3/25,8,311
2020/3/26,9,456
2020/3/27,9,588
2020/3/28,10,742
2020/3/29,13,813
2020/3/3,0,0
2020/3/30,13,951
2020/3/31,15,1238
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,1
2020/3/9,0,1
2020/4/1,18,1485
2020/4/10,91,3597
2020/4/11,108,3808
2020/4/12,109,3961
2020/4/13,115,4186
2020/4/14,137,4399
2020/4/15,141,4440
2020/4/16,157,4788
2020/4/17,171,4970
2020/4/18,184,5167
2020/4/19,186,5325
2020/4/2,22,1718
2020/4/20,187,5470
2020/4/21,211,5628
2020/4/22,225,5829
2020/4/23,238,6044
2020/4/24,257,6312
2020/4/25,266,6448
2020/4/26,268,6626
2020/4/3,23,1725
2020/4/4,31,2135
2020/4/5,42,2172
2020/4/6,46,2523
2020/4/7,59,2895
2020/4/8,76,2974
2020/4/9,85,3183
