date,Deathcase,diags
2020/3/28,1,129
2020/3/29,1,154
2020/3/3,0,0
2020/3/30,5,171
2020/3/31,5,198
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,6,208
2020/4/10,6,365
2020/4/11,6,377
2020/4/12,6,387
2020/4/13,7,394
2020/4/14,7,399
2020/4/15,7,404
2020/4/16,7,415
2020/4/17,8,422
2020/4/18,10,426
2020/4/19,10,433
2020/4/2,6,241
2020/4/20,10,433
2020/4/21,12,437
2020/4/22,14,439
2020/4/23,14,442
2020/4/24,14,444
2020/4/25,14,445
2020/4/26,14,448
2020/4/3,5,243
2020/4/4,6,265
2020/4/5,6,286
2020/4/6,6,299
2020/4/7,6,319
2020/4/8,6,332
2020/4/9,6,354
