date,Deathcase,diags
2020/3/28,2,96
2020/3/29,2,104
2020/3/3,0,0
2020/3/30,2,143
2020/3/31,3,169
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,1
2020/3/7,0,1
2020/3/8,0,1
2020/3/9,0,3
2020/4/1,4,207
2020/4/10,13,635
2020/4/11,15,699
2020/4/12,15,768
2020/4/13,15,791
2020/4/14,15,879
2020/4/15,15,882
2020/4/16,15,929
2020/4/17,15,974
2020/4/18,15,1189
2020/4/19,18,1434
2020/4/2,4,244
2020/4/20,18,1611
2020/4/21,18,1685
2020/4/22,18,1801
2020/4/23,38,2195
2020/4/24,38,2424
2020/4/25,38,2719
2020/4/26,38,3020
2020/4/3,5,278
2020/4/4,5,320
2020/4/5,7,363
2020/4/6,9,416
2020/4/7,9,446
2020/4/8,11,519
2020/4/9,12,568
