date,Deathcase,diags
2020/3/16,1,45
2020/3/17,1,55
2020/3/18,1,55
2020/3/19,1,84
2020/3/2,0,0
2020/3/20,2,143
2020/3/21,2,151
2020/3/22,2,154
2020/3/23,4,156
2020/3/24,4,263
2020/3/25,6,308
2020/3/26,6,416
2020/3/27,10,520
2020/3/28,10,533
2020/3/29,15,651
2020/3/3,0,0
2020/3/30,15,880
2020/3/31,26,1012
2020/3/4,0,0
2020/3/5,0,1
2020/3/6,0,2
2020/3/7,0,2
2020/3/8,0,4
2020/3/9,0,4
2020/4/1,31,1131
2020/4/10,86,2576
2020/4/11,86,2606
2020/4/12,112,2813
2020/4/13,114,2990
2020/4/14,120,3134
2020/4/15,131,3206
2020/4/16,131,3212
2020/4/17,141,3426
2020/4/18,151,3592
2020/4/19,158,3708
2020/4/2,38,1315
2020/4/20,159,3794
2020/4/21,163,3903
2020/4/22,172,4075
2020/4/23,190,4204
2020/4/24,195,4333
2020/4/25,205,4523
2020/4/26,205,4639
2020/4/3,43,1498
2020/4/4,46,1708
2020/4/5,46,1830
2020/4/6,46,1920
2020/4/7,60,2091
2020/4/8,72,2259
2020/4/9,80,2399
