date,Deathcase,diags
2020/3/23,1,78
2020/3/24,1,101
2020/3/25,1,108
2020/3/26,1,137
2020/3/27,1,154
2020/3/28,2,187
2020/3/29,2,214
2020/3/3,0,2
2020/3/30,3,258
2020/3/31,3,357
2020/3/4,0,2
2020/3/5,0,2
2020/3/6,0,2
2020/3/7,0,2
2020/3/8,0,4
2020/3/9,0,4
2020/4/1,3,367
2020/4/10,3,787
2020/4/11,3,885
2020/4/12,3,928
2020/4/13,3,984
2020/4/14,1,921
2020/4/15,3,1139
2020/4/16,3,1139
2020/4/17,3,1285
2020/4/18,3,1342
2020/4/19,3,1390
2020/4/2,1,479
2020/4/20,3,1443
2020/4/21,3,1476
2020/4/22,3,1571
2020/4/23,3,1659
2020/4/24,3,1717
2020/4/25,3,1788
2020/4/26,3,1859
2020/4/3,3,479
2020/4/4,3,540
2020/4/5,3,617
2020/4/6,3,714
2020/4/7,3,714
2020/4/8,3,746
2020/4/9,3,787
