date,Deathcase,diags
2020/3/10,1,15
2020/3/11,1,23
2020/3/12,1,29
2020/3/13,1,49
2020/3/14,1,69
2020/3/15,2,72
2020/3/16,2,176
2020/3/17,3,250
2020/3/18,5,397
2020/3/19,5,633
2020/3/2,0,0
2020/3/20,5,798
2020/3/21,16,1187
2020/3/22,16,1693
2020/3/23,18,2425
2020/3/24,18,3030
2020/3/25,18,3472
2020/3/26,18,5398
2020/3/27,26,6841
2020/3/28,54,8646
2020/3/29,105,10366
2020/3/3,0,0
2020/3/30,107,12789
2020/3/31,20,15010
2020/3/4,0,0
2020/3/5,0,2
2020/3/6,0,2
2020/3/7,0,4
2020/3/8,0,5
2020/3/9,0,5
2020/4/1,355,17743
2020/4/10,1930,53939
2020/4/11,2181,57227
2020/4/12,2348,60576
2020/4/13,2441,63381
2020/4/14,2803,67122
2020/4/15,3154,69841
2020/4/16,3515,74269
2020/4/17,3837,77748
2020/4/18,4068,80672
2020/4/19,4362,84716
2020/4/2,533,20724
2020/4/20,4496,88137
2020/4/21,4520,89314
2020/4/22,5150,94869
2020/4/23,5426,98917
2020/4/24,5683,101664
2020/4/25,5914,104966
2020/4/26,5938,108357
2020/4/3,642,25087
2020/4/4,832,30189
2020/4/5,904,33684
2020/4/6,989,37569
2020/4/7,1227,42209
2020/4/8,1500,46046
2020/4/9,1705,50031
