date,Deathcase,diags
2020/3/25,1,113
2020/3/26,1,113
2020/3/27,1,136
2020/3/28,1,208
2020/3/29,2,237
2020/3/3,0,0
2020/3/30,2,237
2020/3/31,4,315
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,5,327
2020/4/10,17,1081
2020/4/11,19,1091
2020/4/12,26,1245
2020/4/13,26,1262
2020/4/14,31,1345
2020/4/15,36,1484
2020/4/16,36,1484
2020/4/17,44,1597
2020/4/18,53,1798
2020/4/19,55,1845
2020/4/2,6,372
2020/4/20,58,1971
2020/4/21,58,1971
2020/4/22,71,2210
2020/4/23,78,2379
2020/4/24,84,2521
2020/4/25,93,2660
2020/4/26,99,2726
2020/4/3,10,487
2020/4/4,11,504
2020/4/5,12,624
2020/4/6,12,686
2020/4/7,13,794
2020/4/8,13,821
2020/4/9,16,865
