date,Deathcase,diags
2020/3/12,1,327
2020/3/13,2,421
2020/3/14,6,588
2020/3/15,12,615
2020/3/16,24,967
2020/3/17,38,1578
2020/3/18,63,3038
2020/3/19,92,5686
2020/3/2,0,1
2020/3/20,147,7954
2020/3/21,195,11727
2020/3/22,248,15777
2020/3/23,351,20777
2020/3/24,473,25681
2020/3/25,628,30841
2020/3/26,857,37877
2020/3/27,1124,44876
2020/3/28,1479,52410
2020/3/29,1857,59648
2020/3/3,0,2
2020/3/30,2258,66663
2020/3/31,2739,75833
2020/3/4,0,11
2020/3/5,0,23
2020/3/6,0,31
2020/3/7,0,76
2020/3/8,0,106
2020/3/9,0,142
2020/4/1,3352,83948
2020/4/10,11605,172348
2020/4/11,12494,181026
2020/4/12,13402,189033
2020/4/13,14390,195749
2020/4/14,15261,203020
2020/4/15,16013,214454
2020/4/16,16729,223691
2020/4/17,17181,230597
2020/4/18,17701,237474
2020/4/19,18181,243382
2020/4/2,4055,92506
2020/4/20,19128,248416
2020/4/21,19743,253519
2020/4/22,20203,258222
2020/4/23,20743,263460
2020/4/24,20955,271590
2020/4/25,22009,282143
2020/4/26,22269,288045
2020/4/3,4795,102987
2020/4/4,5564,113833
2020/4/5,6447,123160
2020/4/6,7500,131815
2020/4/7,8770,139875
2020/4/8,9682,151061
2020/4/9,10705,161779
