date,Deathcase,diags
2020/3/25,1,590
2020/3/26,3,738
2020/3/27,4,887
2020/3/28,5,1020
2020/3/29,7,1191
2020/3/3,0,1
2020/3/30,6,1313
2020/3/31,12,1535
2020/3/4,0,1
2020/3/5,0,1
2020/3/6,0,2
2020/3/7,0,2
2020/3/8,0,2
2020/3/9,0,2
2020/4/1,14,1675
2020/4/10,83,3965
2020/4/11,89,4354
2020/4/12,89,4570
2020/4/13,94,4886
2020/4/14,112,5113
2020/4/15,130,5340
2020/4/16,150,5639
2020/4/17,177,6045
2020/4/18,187,6328
2020/4/19,200,6598
2020/4/2,21,1977
2020/4/20,218,6895
2020/4/21,245,7134
2020/4/22,265,7495
2020/4/23,281,7820
2020/4/24,294,8290
2020/4/25,305,8767
2020/4/26,324,8996
2020/4/3,27,2251
2020/4/4,34,2486
2020/4/5,38,2649
2020/4/6,45,2962
2020/4/7,51,3299
2020/4/8,66,3499
2020/4/9,76,3736
