date,Deathcase,diags
2020/3/27,1,68
2020/3/28,1,94
2020/3/29,1,98
2020/3/3,0,0
2020/3/30,1,109
2020/3/31,3,122
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,3,142
2020/4/10,6,278
2020/4/11,7,293
2020/4/12,7,308
2020/4/13,8,331
2020/4/14,8,341
2020/4/15,9,365
2020/4/16,9,393
2020/4/17,9,393
2020/4/18,9,528
2020/4/19,9,585
2020/4/2,3,159
2020/4/20,9,627
2020/4/21,13,644
2020/4/22,14,679
2020/4/23,15,709
2020/4/24,15,748
2020/4/25,16,803
2020/4/26,17,867
2020/4/3,3,173
2020/4/4,3,186
2020/4/5,3,207
2020/4/6,3,225
2020/4/7,4,237
2020/4/8,4,251
2020/4/9,5,269
