date,Deathcase,diags
2020/3/20,3,173
2020/3/21,3,247
2020/3/22,3,356
2020/3/23,6,443
2020/3/24,8,567
2020/3/25,11,704
2020/3/26,15,868
2020/3/27,19,1137
2020/3/28,25,1406
2020/3/29,29,1653
2020/3/3,0,0
2020/3/30,40,1933
2020/3/31,55,2199
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,65,2547
2020/4/10,213,5878
2020/4/11,247,6250
2020/4/12,253,6602
2020/4/13,274,6975
2020/4/14,324,7285
2020/4/15,362,7794
2020/4/16,391,8414
2020/4/17,418,9107
2020/4/18,451,10222
2020/4/19,471,11602
2020/4/2,81,2901
2020/4/20,509,12919
2020/4/21,557,13725
2020/4/22,610,14117
2020/4/23,656,14694
2020/4/24,690,15169
2020/4/25,711,15587
2020/4/26,728,15972
2020/4/3,91,3312
2020/4/4,102,3739
2020/4/5,119,4043
2020/4/6,142,4453
2020/4/7,167,4782
2020/4/8,193,5148
2020/4/9,213,5512
