date,Deathcase,diags
2020/3/19,1,44
2020/3/2,0,0
2020/3/20,1,49
2020/3/21,1,53
2020/3/22,2,67
2020/3/23,2,81
2020/3/24,3,106
2020/3/25,5,164
2020/3/26,7,248
2020/3/27,8,322
2020/3/28,15,377
2020/3/29,16,429
2020/3/3,0,0
2020/3/30,16,481
2020/3/31,23,566
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,1
2020/3/8,0,1
2020/3/9,0,1
2020/4/1,29,719
2020/4/10,88,1794
2020/4/11,94,1868
2020/4/12,96,1970
2020/4/13,99,2069
2020/4/14,108,2184
2020/4/15,123,2263
2020/4/16,131,2357
2020/4/17,131,2357
2020/4/18,131,2357
2020/4/19,140,2567
2020/4/2,34,879
2020/4/20,143,2680
2020/4/21,164,2807
2020/4/22,170,2894
2020/4/23,179,3017
2020/4/24,188,3121
2020/4/25,194,3194
2020/4/26,195,3254
2020/4/3,38,988
2020/4/4,42,1159
2020/4/5,46,1252
2020/4/6,51,1327
2020/4/7,67,1472
2020/4/8,79,1524
2020/4/9,80,1684
