date,Deathcase,diags
2020/3/15,1,36
2020/3/16,1,39
2020/3/17,1,66
2020/3/18,3,75
2020/3/19,3,88
2020/3/2,0,3
2020/3/20,3,114
2020/3/21,4,137
2020/3/22,5,161
2020/3/23,5,191
2020/3/24,8,210
2020/3/25,10,266
2020/3/26,11,316
2020/3/27,12,416
2020/3/28,13,479
2020/3/29,13,548
2020/3/3,0,3
2020/3/30,16,606
2020/3/31,18,690
2020/3/4,0,3
2020/3/5,0,3
2020/3/6,0,3
2020/3/7,0,6
2020/3/8,0,14
2020/3/9,0,14
2020/4/1,19,736
2020/4/10,43,1322
2020/4/11,48,1371
2020/4/12,52,1526
2020/4/13,53,1584
2020/4/14,55,1633
2020/4/15,58,1663
2020/4/16,64,1736
2020/4/17,70,1785
2020/4/18,72,1844
2020/4/19,74,1910
2020/4/2,21,826
2020/4/20,75,1957
2020/4/21,78,2004
2020/4/22,78,2059
2020/4/23,83,2127
2020/4/24,86,2177
2020/4/25,87,2253
2020/4/26,92,2311
2020/4/3,22,899
2020/4/4,22,899
2020/4/5,27,1068
2020/4/6,27,1068
2020/4/7,29,1132
2020/4/8,33,1181
2020/4/9,43,1321
