date,Deathcase,diags
2020/3/18,1,155
2020/3/19,1,206
2020/3/2,0,0
2020/3/20,1,311
2020/3/21,2,399
2020/3/22,4,509
2020/3/23,6,698
2020/3/24,8,946
2020/3/25,15,1260
2020/3/26,18,1795
2020/3/27,22,2345
2020/3/28,34,2845
2020/3/29,41,3432
2020/3/3,0,0
2020/3/30,50,4155
2020/3/31,63,4963
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,2
2020/3/7,0,2
2020/3/8,0,6
2020/3/9,0,7
2020/4/1,74,6009
2020/4/10,418,20051
2020/4/11,503,21719
2020/4/12,557,22938
2020/4/13,589,24292
2020/4/14,691,25465
2020/4/15,779,26753
2020/4/16,841,28258
2020/4/17,921,29888
2020/4/18,1042,31652
2020/4/19,1276,32902
2020/4/2,90,7268
2020/4/20,1348,33914
2020/4/21,1614,35249
2020/4/22,1673,36082
2020/4/23,1724,38379
2020/4/24,1747,40208
2020/4/25,1793,41153
2020/4/26,1816,42616
2020/4/3,102,8570
2020/4/4,136,10444
2020/4/5,151,11589
2020/4/6,179,13127
2020/4/7,247,14853
2020/4/8,318,16631
2020/4/9,345,18300
