date,Deathcase,diags
2020/3/16,1,30
2020/3/17,1,47
2020/3/18,1,60
2020/3/19,1,80
2020/3/2,0,0
2020/3/20,3,126
2020/3/21,3,174
2020/3/22,3,196
2020/3/23,5,298
2020/3/24,5,342
2020/3/25,7,424
2020/3/26,9,424
2020/3/27,13,542
2020/3/28,15,660
2020/3/29,16,774
2020/3/3,0,0
2020/3/30,18,925
2020/3/31,22,1083
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,2
2020/3/8,0,2
2020/3/9,0,3
2020/4/1,26,1293
2020/4/10,72,3067
2020/4/11,80,3211
2020/4/12,82,3320
2020/4/13,82,3391
2020/4/14,97,3553
2020/4/15,106,3656
2020/4/16,111,3931
2020/4/17,116,4099
2020/4/18,119,4248
2020/4/19,120,4377
2020/4/2,31,1554
2020/4/20,123,4446
2020/4/21,124,4439
2020/4/22,140,4761
2020/4/23,150,4917
2020/4/24,157,5070
2020/4/25,166,5253
2020/4/26,174,5498
2020/4/3,34,1700
2020/4/4,40,1917
2020/4/5,44,2049
2020/4/6,48,2232
2020/4/7,51,2417
2020/4/8,51,2417
2020/4/9,67,2793
