date,Deathcase,diags
2020/3/11,1,8
2020/3/12,1,7
2020/3/13,1,8
2020/3/14,1,8
2020/3/15,1,8
2020/3/16,1,10
2020/3/17,1,11
2020/3/18,1,11
2020/3/19,1,14
2020/3/2,0,0
2020/3/20,1,14
2020/3/21,1,14
2020/3/22,1,21
2020/3/23,1,28
2020/3/24,1,30
2020/3/25,1,41
2020/3/26,1,46
2020/3/27,1,58
2020/3/28,1,68
2020/3/29,1,90
2020/3/3,0,0
2020/3/30,1,101
2020/3/31,1,108
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,2,129
2020/4/10,6,536
2020/4/11,6,626
2020/4/12,6,730
2020/4/13,6,868
2020/4/14,6,988
2020/4/15,6,1168
2020/4/16,7,1311
2020/4/17,7,1411
2020/4/18,7,1542
2020/4/19,7,1635
2020/4/2,2,165
2020/4/20,7,1685
2020/4/21,8,1755
2020/4/22,9,1858
2020/4/23,9,1956
2020/4/24,10,2040
2020/4/25,10,2147
2020/4/26,11,2212
2020/4/3,2,187
2020/4/4,2,212
2020/4/5,2,240
2020/4/6,4,288
2020/4/7,6,320
2020/4/8,6,393
2020/4/9,6,447
