date,Deathcase,diags
2020/3/17,1,110
2020/3/18,3,196
2020/3/19,5,303
2020/3/2,0,0
2020/3/20,4,426
2020/3/21,5,539
2020/3/22,7,643
2020/3/23,9,758
2020/3/24,12,955
2020/3/25,15,1229
2020/3/26,21,1563
2020/3/27,26,1937
2020/3/28,30,2455
2020/3/29,37,2792
2020/3/3,0,0
2020/3/30,45,3147
2020/3/31,54,3809
2020/3/4,0,0
2020/3/5,0,3
2020/3/6,0,4
2020/3/7,0,8
2020/3/8,0,11
2020/3/9,0,13
2020/4/1,66,4355
2020/4/10,238,12105
2020/4/11,266,13023
2020/4/12,283,13677
2020/4/13,305,14275
2020/4/14,342,15006
2020/4/15,375,15907
2020/4/16,414,16876
2020/4/17,451,17849
2020/4/18,476,18704
2020/4/19,490,19260
2020/4/2,77,5069
2020/4/20,507,19751
2020/4/21,533,20574
2020/4/22,556,21321
2020/4/23,604,22650
2020/4/24,624,23642
2020/4/25,638,24153
2020/4/26,651,24967
2020/4/3,100,5734
2020/4/4,116,6567
2020/4/5,136,7209
2020/4/6,150,8043
2020/4/7,160,8925
2020/4/8,189,9777
2020/4/9,210,11208
