date,Deathcase,diags
2020/3/22,1,162
2020/3/23,1,244
2020/3/24,1,285
2020/3/25,1,326
2020/3/26,1,382
2020/3/27,1,458
2020/3/28,1,588
2020/3/29,2,706
2020/3/3,0,0
2020/3/30,4,779
2020/3/31,5,866
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,1
2020/3/8,0,1
2020/3/9,0,1
2020/4/1,5,866
2020/4/10,13,2103
2020/4/11,13,2207
2020/4/12,13,2299
2020/4/13,13,2363
2020/4/14,13,2417
2020/4/15,13,2548
2020/4/16,13,2683
2020/4/17,23,2793
2020/4/18,25,2917
2020/4/19,25,2799
2020/4/2,7,1064
2020/4/20,25,2930
2020/4/21,28,3012
2020/4/22,28,3154
2020/4/23,31,3307
2020/4/24,35,3464
2020/4/25,36,3623
2020/4/26,36,3788
2020/4/3,7,1248
2020/4/4,8,1428
2020/4/5,8,1599
2020/4/6,13,1678
2020/4/7,13,1739
2020/4/8,13,1848
2020/4/9,13,1856
