date,Deathcase,diags
2020/3/19,1,13
2020/3/2,0,0
2020/3/20,2,18
2020/3/21,2,49
2020/3/22,2,52
2020/3/23,2,75
2020/3/24,5,95
2020/3/25,5,123
2020/3/26,5,150
2020/3/27,5,178
2020/3/28,5,204
2020/3/29,5,228
2020/3/3,0,0
2020/3/30,5,228
2020/3/31,5,282
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,1
2020/3/9,0,1
2020/4/1,5,307
2020/4/10,23,620
2020/4/11,25,700
2020/4/12,27,720
2020/4/13,28,740
2020/4/14,29,713
2020/4/15,29,744
2020/4/16,33,759
2020/4/17,35,769
2020/4/18,37,793
2020/4/19,37,803
2020/4/2,5,333
2020/4/20,38,805
2020/4/21,40,815
2020/4/22,40,820
2020/4/23,43,822
2020/4/24,44,824
2020/4/25,46,838
2020/4/26,46,846
2020/4/3,5,383
2020/4/4,5,450
2020/4/5,5,499
2020/4/6,5,522
2020/4/7,5,572
2020/4/8,5,572
2020/4/9,23,620
