date,Deathcase,diags
2020/3/14,1,37
2020/3/15,1,37
2020/3/16,2,49
2020/3/17,2,67
2020/3/18,2,79
2020/3/19,2,102
2020/3/2,0,0
2020/3/20,2,123
2020/3/21,3,157
2020/3/22,6,220
2020/3/23,6,254
2020/3/24,9,293
2020/3/25,9,396
2020/3/26,10,466
2020/3/27,10,607
2020/3/28,13,740
2020/3/29,15,890
2020/3/3,0,0
2020/3/30,15,1020
2020/3/31,15,1249
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,2
2020/3/9,0,2
2020/4/1,15,1483
2020/4/10,38,4509
2020/4/11,39,5077
2020/4/12,79,5274
2020/4/13,79,5747
2020/4/14,79,6182
2020/4/15,94,6500
2020/4/16,131,6889
2020/4/17,164,7491
2020/4/18,164,8053
2020/4/19,164,8542
2020/4/2,15,1706
2020/4/20,184,8990
2020/4/21,184,9630
2020/4/22,349,10266
2020/4/23,373,10998
2020/4/24,411,11594
2020/4/25,437,12366
2020/4/26,449,12970
2020/4/3,15,2012
2020/4/4,16,2407
2020/4/5,16,2637
2020/4/6,16,2878
2020/4/7,16,3335
2020/4/8,24,3645
2020/4/9,31,4042
