date,Deathcase,diags
2020/2/29,1,7
2020/2/3,0,1
2020/2/4,0,1
2020/2/5,0,1
2020/2/6,0,1
2020/2/7,0,1
2020/2/8,0,1
2020/2/9,0,1
2020/3/1,1,11
2020/3/10,23,162
2020/3/11,24,282
2020/3/12,31,406
2020/3/13,37,503
2020/3/14,39,603
2020/3/15,40,603
2020/3/16,48,779
2020/3/17,55,955
2020/3/18,67,1022
2020/3/19,73,1223
2020/3/2,6,18
2020/3/20,83,1394
2020/3/21,94,1647
2020/3/22,97,1833
2020/3/23,109,2076
2020/3/24,116,2216
2020/3/25,133,2540
2020/3/26,150,3138
2020/3/27,157,3410
2020/3/28,188,4030
2020/3/29,198,4340
2020/3/3,7,27
2020/3/30,205,4649
2020/3/31,225,5158
2020/3/4,10,39
2020/3/5,11,70
2020/3/6,13,78
2020/3/7,16,102
2020/3/8,18,122
2020/3/9,19,122
2020/4/1,234,5305
2020/4/10,483,9211
2020/4/11,495,9586
2020/4/12,506,9877
2020/4/13,513,10016
2020/4/14,530,10315
2020/4/15,552,10559
2020/4/16,579,10785
2020/4/17,603,11183
2020/4/18,613,11332
2020/4/19,636,11819
2020/4/2,271,6045
2020/4/20,643,11955
2020/4/21,664,12233
2020/4/22,686,12437
2020/4/23,711,12619
2020/4/24,722,12877
2020/4/25,737,13182
2020/4/26,749,13398
2020/4/3,291,6345
2020/4/4,315,6764
2020/4/5,336,7292
2020/4/6,381,7663
2020/4/7,400,8015
2020/4/8,426,8361
2020/4/9,456,8801
