date,Deathcase,diags
2020/3/30,1,145
2020/3/31,1,162
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,1,191
2020/4/10,4,574
2020/4/11,4,577
2020/4/12,4,593
2020/4/13,6,611
2020/4/14,6,640
2020/4/15,6,702
2020/4/16,6,728
2020/4/17,7,775
2020/4/18,7,785
2020/4/19,7,890
2020/4/2,1,216
2020/4/20,7,902
2020/4/21,7,908
2020/4/22,7,939
2020/4/23,31,981
2020/4/24,32,1010
2020/4/25,32,1010
2020/4/26,34,1055
2020/4/3,2,237
2020/4/4,2,282
2020/4/5,3,324
2020/4/6,4,345
2020/4/7,4,412
2020/4/8,4,462
2020/4/9,4,514
