date,Deathcase,diags
2020/3/19,4,159
2020/3/2,0,0
2020/3/20,3,219
2020/3/21,4,282
2020/3/22,4,381
2020/3/23,5,425
2020/3/24,5,481
2020/3/25,7,621
2020/3/26,10,728
2020/3/27,14,865
2020/3/28,17,1055
2020/3/29,18,1164
2020/3/3,0,0
2020/3/30,20,1230
2020/3/31,25,1412
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/4/1,27,1556
2020/4/10,128,3068
2020/4/11,137,3213
2020/4/12,144,3341
2020/4/13,154,3428
2020/4/14,170,3554
2020/4/15,183,3720
2020/4/16,197,3875
2020/4/17,206,4053
2020/4/18,212,4199
2020/4/19,220,4346
2020/4/2,33,1748
2020/4/20,230,4499
2020/4/21,244,4625
2020/4/22,248,4845
2020/4/23,258,5052
2020/4/24,263,5356
2020/4/25,266,5687
2020/4/26,272,5912
2020/4/3,47,2012
2020/4/4,50,2030
2020/4/5,74,2320
2020/4/6,78,2449
2020/4/7,92,2578
2020/4/8,100,2710
2020/4/9,111,2886
